Date,Average Open Price (USD),Average High Price (USD),Average Low Price (USD),Average Close Price (USD)
2014-01-07,906.3868666666667,921.2525766666668,795.3333333333334,795.3333333333334
2014-01-08,792.0,862.5600366666667,774.6666666666666,825.65679
2014-01-09,827.7417833333334,856.0,794.0425466666666,838.8764466666667
2014-01-10,832.8228666666668,851.1629200000001,816.4628666666666,848.2295866666667
2014-01-11,869.61,909.42947,867.22518,897.77075
2014-01-12,895.6537133333333,899.3132966666667,849.18667,864.0500000000001
2014-01-13,845.9837733333334,853.7773966666667,805.5031666666667,825.4665
2014-01-14,828.9444666666667,849.2342,806.7059666666668,824.6149666666666
2014-01-15,827.5124999999999,852.1509666666667,822.3081666666667,843.6240466666667
2014-01-16,847.0675,853.6875,818.8087333333333,821.7902566666667
2014-01-17,819.5088,825.5851899999999,780.6666666666666,796.7333333333332
2014-01-18,806.6251266666667,825.42053,800.91358,809.8366666666667
2014-01-19,816.1700000000001,840.3233333333334,808.2507333333333,835.69
2014-01-20,838.82008,843.6707333333334,813.4427999999999,831.0454633333334
2014-01-21,825.34,835.0711299999999,809.4378333333333,821.3000000000001
2014-01-22,820.2933333333334,822.1738133333333,809.6666666666666,819.0299966666666
2014-01-23,820.1999999999999,824.7229966666667,808.7925999999999,819.6994566666666
2014-01-24,813.9463233333332,815.7414233333334,774.3994333333334,788.2952833333334
2014-01-25,792.9501533333333,819.0,785.9705933333333,809.6066666666666
2014-01-26,809.6638333333334,832.6385999999999,779.6700000000001,817.0405300000001
2014-01-27,817.4378733333333,824.6475333333333,754.0,764.0785
2014-01-28,770.2433333333333,818.3218,761.6700000000001,799.6633333333333
2014-01-29,796.8314999999999,810.3919033333333,786.8525666666666,796.4033333333333
2014-01-30,797.0110666666666,810.5396833333334,781.0267,803.9792333333334
2014-01-31,803.2210333333333,808.6363299999999,794.6,805.0634566666668
2014-02-01,804.0775466666668,825.6766000000001,802.64417,817.6266
2014-02-02,821.11,830.105,812.547155,814.9271550000001
